"Date","Stage","Emb_ID","Treatment","Dose","Cntl","Expt","Ratio","Norm_Cntl","Norm_Expt"
"20250115","8ss","20250115_APODMO;1,0mM_Emb10_8ss","APODMO","1,0mM",95.178,76.382,0.802517388472126,1.03457346589756,0.830263196034668
"20250115","8ss","20250115_APODMO;1,0mM_Emb4_8ss","APODMO","1,0mM",95.115,89.804,0.944162329811281,1.03388866343952,0.976158729238529
"20250115","9ss","20250115_APODMO;1,0mM_Emb5_9ss","APODMO","1,0mM",85.699,81.534,0.951399666273819,0.931537870662918,0.886264819270124
"20250127","10ss","20250127_APODMO;1,0mM_Emb10_10ss","APODMO","1,0mM",237.264,152.494,0.64271865938364,0.897564518691695,0.576881464163848
"20250127","10ss","20250127_APODMO;1,0mM_Emb2_10ss","APODMO","1,0mM",308.19,246.939,0.80125571887472,1.16587602424132,0.934164831922283
"20250127","10ss","20250127_APODMO;1,0mM_Emb4_10ss","APODMO","1,0mM",193.07,153.949,0.797374009426633,0.730379584023727,0.582385697316355
"20250127","10ss","20250127_APODMO;1,0mM_Emb5_10ss","APODMO","1,0mM",318.844,224.213,0.703205956517921,1.20617987304325,0.848192871356046
"20250710","6ss","20250710_APODMO;1,0mM_Emb1_6ss","APODMO","1,0mM",120.467,95.704,0.79444163131812,0.902409295596192,0.716911512910075
"20250710","6ss","20250710_APODMO;1,0mM_Emb2_6ss","APODMO","1,0mM",111.615,98.352,0.881171885499261,0.836099625025683,0.736747483049106
"20250710","6ss","20250710_APODMO;1,0mM_Emb3_6ss","APODMO","1,0mM",128.114,113.185,0.883470971166305,0.959692401205397,0.847860377713855
"20250710","7ss","20250710_APODMO;1,0mM_Emb4_7ss","APODMO","1,0mM",106.752,75.955,0.711508917865707,0.799671255393466,0.568973229573317
"20250710","7ss","20250710_APODMO;1,0mM_Emb5_7ss","APODMO","1,0mM",161.507,120.773,0.74778802157182,1.20983686905007,0.904701518731594
"20250710","6ss","20250710_APODMO;1,0mM_Emb6_6ss","APODMO","1,0mM",145.167,139.853,0.963393884284996,1.08743514998973,1.04762837305664
"20250710","5ss","20250710_APODMO;1,0mM_Emb7_5ss","APODMO","1,0mM",160.842,147.693,0.918248964822621,1.20485540373947,1.10635722724471
"20250714","5ss","20250714_APODMO;1,0mM_Emb1_5ss","APODMO","1,0mM",207.316,172.638,0.832728781184279,1.15237754394787,0.959617947635839
"20250714","6ss","20250714_APODMO;1,0mM_Emb10_6ss","APODMO","1,0mM",180.129,129.2,0.717263738764996,1.00125708876201,0.718165402950396
"20250714","5ss","20250714_APODMO;1,0mM_Emb11_5ss","APODMO","1,0mM",141.128,125.612,0.890057252990193,0.784467855941048,0.698221304917996
"20250714","8ss","20250714_APODMO;1,0mM_Emb14_8ss","APODMO","1,0mM",179.2,137.263,0.7659765625,0.996093190469899,0.762984037965791
"20250714","6ss","20250714_APODMO;1,0mM_Emb15_6ss","APODMO","1,0mM",140.452,110.692,0.788112664824994,0.780710272253785,0.615287653122177
"20250714","5ss","20250714_APODMO;1,0mM_Emb16_5ss","APODMO","1,0mM",229.03,232.189,1.01379295288827,1.27307602351184,1.29063550112732
"20250714","6ss","20250714_APODMO;1,0mM_Emb17_6ss","APODMO","1,0mM",154.547,123.465,0.798883187638712,0.859058115555533,0.686287085721909
"20250714","6ss","20250714_APODMO;1,0mM_Emb3_6ss","APODMO","1,0mM",123.002,115.595,0.939781466968017,0.683713474409478,0.642541251966339
"20250714","6ss","20250714_APODMO;1,0mM_Emb4_6ss","APODMO","1,0mM",166.558,142.134,0.853360390974916,0.925821928673468,0.790059763025941
"20250714","8ss","20250714_APODMO;1,0mM_Emb5_8ss","APODMO","1,0mM",194.68,152.715,0.784441134168892,1.08213963348594,0.848874841420818
"20250714","6ss","20250714_APODMO;1,0mM_Emb7_6ss","APODMO","1,0mM",259.936,167.908,0.645959005293611,1.44486874753339,0.933325978936494
"20250714","8ss","20250714_APODMO;1,0mM_Emb8_8ss","APODMO","1,0mM",195.241,160.683,0.822998243196869,1.08525798326191,0.893165413639926
"20250714","5ss","20250714_APODMO;1,0mM_Emb9_5ss","APODMO","1,0mM",167.518,143.945,0.859280793705751,0.931158142193842,0.800126307489897
